peptide_id;protein_id
agilent_102346;agilent_12317
agilent_10235;agilent_246
agilent_102351;agilent_102351
agilent_102352;agilent_56954
agilent_102358;agilent_20183
agilent_102360;agilent_38267
agilent_102361;agilent_17272
agilent_102367;agilent_35150
agilent_102368;agilent_13714
agilent_102371;agilent_24277
agilent_102373;agilent_28471
agilent_102374;agilent_14119
agilent_102375;agilent_17470
agilent_102379;agilent_59666
agilent_102384;agilent_17578
agilent_102385;agilent_12930
agilent_102389;agilent_20819
agilent_102391;agilent_12353
agilent_102394;agilent_70534
agilent_102396;agilent_15031
agilent_102397;agilent_14218
agilent_10240;agilent_440
agilent_102406;agilent_94202
agilent_102409;agilent_32217
agilent_102414;agilent_82086
agilent_102415;agilent_34232
agilent_102419;agilent_20694
agilent_102420;agilent_13618
agilent_102422;agilent_66420
agilent_102428;agilent_16583
agilent_102429;agilent_16660
agilent_102431;agilent_21209
agilent_102432;agilent_33168
agilent_102433;agilent_72437
agilent_102436;agilent_16788
agilent_102438;agilent_29874
agilent_102439;agilent_32658
agilent_102441;agilent_102441
agilent_102442;agilent_31362
agilent_102449;agilent_23355
agilent_102450;agilent_39741
agilent_102454;agilent_31873
agilent_102456;agilent_24185
agilent_102459;agilent_18544
agilent_10246;agilent_242
agilent_102464;agilent_68588
agilent_102472;agilent_25184
agilent_102475;agilent_102475
agilent_102477;agilent_102477
agilent_102479;agilent_25450
agilent_10248;agilent_136
agilent_102482;agilent_37042
agilent_102485;agilent_28166
agilent_102495;agilent_102495
agilent_102501;agilent_53203
agilent_102503;agilent_16761
agilent_102504;agilent_30243
agilent_102508;agilent_59536
agilent_102512;agilent_37693
agilent_102515;agilent_82932
agilent_102516;agilent_37429
agilent_102518;agilent_13154
agilent_102523;agilent_24700
agilent_102524;agilent_50405
agilent_102527;agilent_78624
agilent_102537;agilent_29869
agilent_102539;agilent_18359
agilent_102557;agilent_102557
agilent_102559;agilent_12928
agilent_102561;agilent_12432
agilent_102562;agilent_35698
agilent_102565;agilent_14101
agilent_102566;agilent_39298
agilent_102568;agilent_17907
agilent_10257;agilent_1968
agilent_102571;agilent_55081
agilent_102573;agilent_17071
agilent_102575;agilent_27056
agilent_102579;agilent_41876
agilent_102582;agilent_28580
agilent_102583;agilent_35556
agilent_102585;agilent_44241
agilent_102586;agilent_26006
agilent_102590;agilent_18058
agilent_102592;agilent_102592
agilent_102596;agilent_15767
agilent_102597;agilent_52924
agilent_102599;agilent_102599
agilent_102600;agilent_13479
agilent_102602;agilent_102602
agilent_102607;agilent_27456
agilent_102615;agilent_35304
agilent_102619;agilent_23435
agilent_102621;agilent_41442
agilent_102624;agilent_27182
agilent_102633;agilent_12560
agilent_102635;agilent_46828
agilent_102636;agilent_14419
agilent_102642;agilent_102642
agilent_102657;agilent_90244
agilent_102658;agilent_102658
agilent_102660;agilent_85872
agilent_102661;agilent_44122
agilent_102669;agilent_42602
agilent_10267;agilent_138
agilent_102677;agilent_23528
agilent_102679;agilent_26100
agilent_102682;agilent_14887
agilent_102685;agilent_16081
agilent_102686;agilent_101655
agilent_102689;agilent_38290
agilent_102695;agilent_49407
agilent_102696;agilent_18917
agilent_1027;agilent_67
agilent_102701;agilent_38847
agilent_10271;agilent_2567
agilent_102710;agilent_24693
agilent_102719;agilent_14316
agilent_10272;agilent_304
agilent_102720;agilent_42942
agilent_102724;agilent_24385
agilent_102731;agilent_29396
agilent_102733;agilent_13350
agilent_102738;agilent_25452
agilent_102743;agilent_27314
agilent_102745;agilent_30293
agilent_102750;agilent_29139
agilent_102752;agilent_38741
agilent_102754;agilent_63705
agilent_102757;agilent_21408
agilent_102769;agilent_20946
agilent_102770;agilent_21953
agilent_102773;agilent_15706
agilent_102778;agilent_45772
agilent_10278;agilent_498
agilent_102781;agilent_47560
agilent_102782;agilent_14521
agilent_10279;agilent_193
agilent_102793;agilent_16693
agilent_102794;agilent_14445
agilent_102798;agilent_37796
agilent_102800;agilent_14435
agilent_102801;agilent_16380
agilent_102812;agilent_22689
agilent_102819;agilent_46153
agilent_102826;agilent_50534
agilent_102829;agilent_19464
agilent_102830;agilent_16552
agilent_102834;agilent_14056
agilent_102835;agilent_34337
agilent_102838;agilent_20890
agilent_102839;agilent_55983
agilent_102841;agilent_38568
agilent_102842;agilent_16491
agilent_102850;agilent_18281
agilent_102851;agilent_16578
agilent_102852;agilent_22355
agilent_102854;agilent_64204
agilent_102856;agilent_102856
agilent_102857;agilent_19813
agilent_102859;agilent_22577
agilent_102861;agilent_64178
agilent_102864;agilent_57713
agilent_102866;agilent_43325
agilent_10287;agilent_80
agilent_102874;agilent_16275
agilent_102875;agilent_12800
agilent_102878;agilent_102878
agilent_102879;agilent_91682
agilent_10288;agilent_4812
agilent_102880;agilent_41470
agilent_102881;agilent_15237
agilent_102884;agilent_77851
agilent_102885;agilent_19774
agilent_10289;agilent_4812
agilent_102894;agilent_18401
agilent_102896;agilent_58366
agilent_10290;agilent_4812
agilent_102903;agilent_20684
agilent_102905;agilent_96664
agilent_102906;agilent_39191
agilent_102907;agilent_23463
agilent_102909;agilent_18940
agilent_10291;agilent_1429
agilent_10292;agilent_49
agilent_102920;agilent_15106
agilent_102921;agilent_20502
agilent_102924;agilent_47982
agilent_102925;agilent_14303
agilent_102929;agilent_20566
agilent_102933;agilent_18124
agilent_102935;agilent_24872
agilent_102944;agilent_14167
agilent_102945;agilent_15085
agilent_102949;agilent_102949
agilent_102958;agilent_35687
agilent_102960;agilent_13074
agilent_102963;agilent_46058
agilent_102965;agilent_29577
agilent_102967;agilent_18052
agilent_102973;agilent_18776
agilent_102985;agilent_13200
agilent_102986;agilent_31239
agilent_102999;agilent_44624
agilent_103002;agilent_14307
agilent_103003;agilent_39374
agilent_103005;agilent_40544
agilent_103007;agilent_30516
agilent_103014;agilent_32739
agilent_10302;agilent_429
agilent_103021;agilent_12794
agilent_103024;agilent_17488
agilent_103027;agilent_29264
agilent_103028;agilent_12973
agilent_103030;agilent_103030
agilent_103031;agilent_82972
agilent_103036;agilent_75500
agilent_103038;agilent_69461
agilent_103041;agilent_70501
agilent_103044;agilent_61782
agilent_103049;agilent_20788
agilent_103053;agilent_50670
